#Release 14.5 - par P.58f (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Tue May 17 18:09:11 2016

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MainModule_map.ncd
#OUTPUT FILE:      MainModule_pad.csv
#PART TYPE:        xa7a100t
#SPEED GRADE:      -2i
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,PCOut<21>,IOB,IO_L9N_T1_DQS_AD7N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A2,,,GND,,,,,,,,,,,,
A3,PCOut<19>,IOB,IO_L8N_T1_AD14N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A4,PCOut<18>,IOB,IO_L8P_T1_AD14P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A5,PCOut<9>,IOB,IO_L3N_T0_DQS_AD5N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A6,PCOut<8>,IOB,IO_L3P_T0_DQS_AD5P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A7,,,VCCO_35,,,35,,,,,1.80,,,,
A8,,IOB33S,IO_L12N_T1_MRCC_16,UNUSED,,16,,,,,,,,,
A9,,IOB33S,IO_L14N_T2_SRCC_16,UNUSED,,16,,,,,,,,,
A10,,IOB33M,IO_L14P_T2_SRCC_16,UNUSED,,16,,,,,,,,,
A11,RegFileOut2<8>,IOB,IO_L4N_T0_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
A12,,,GND,,,,,,,,,,,,
A13,DataMemOut<6>,IOB,IO_L9P_T1_DQS_AD3P_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,YES,NONE,
A14,DataMemOut<0>,IOB,IO_L9N_T1_DQS_AD3N_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,YES,NONE,
A15,DataMemOut<1>,IOB,IO_L8P_T1_AD10P_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,YES,NONE,
A16,DataMemOut<5>,IOB,IO_L8N_T1_AD10N_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,YES,NONE,
A17,,,VCCO_15,,,15,,,,,1.80,,,,
A18,DataMemOut<7>,IOB,IO_L10N_T1_AD11N_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,YES,NONE,
B1,PCOut<20>,IOB,IO_L9P_T1_DQS_AD7P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B2,PCOut<23>,IOB,IO_L10N_T1_AD15N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B3,PCOut<22>,IOB,IO_L10P_T1_AD15P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B4,PCOut<17>,IOB,IO_L7N_T1_AD6N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B5,,,GND,,,,,,,,,,,,
B6,PCOut<7>,IOB,IO_L2N_T0_AD12N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B7,PCOut<6>,IOB,IO_L2P_T0_AD12P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B8,,IOB33M,IO_L12P_T1_MRCC_16,UNUSED,,16,,,,,,,,,
B9,,IOB33S,IO_L11N_T1_SRCC_16,UNUSED,,16,,,,,,,,,
B10,,,VCCO_16,,,16,,,,,any******,,,,
B11,RegFileOut2<7>,IOB,IO_L4P_T0_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B12,RegFileOut2<6>,IOB,IO_L3N_T0_DQS_AD1N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B13,RegFileOut2<3>,IOB,IO_L2P_T0_AD8P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B14,RegFileOut2<4>,IOB,IO_L2N_T0_AD8N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B15,,,GND,,,,,,,,,,,,
B16,DataMemOut<2>,IOB,IO_L7P_T1_AD2P_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,YES,NONE,
B17,RegFileOut2<14>,IOB,IO_L7N_T1_AD2N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B18,DataMemOut<9>,IOB,IO_L10P_T1_AD11P_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,YES,NONE,
C1,PCOut<27>,IOB,IO_L16N_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C2,PCOut<30>,IOB,IO_L16P_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C3,,,VCCO_35,,,35,,,,,1.80,,,,
C4,PCOut<16>,IOB,IO_L7P_T1_AD6P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C5,PCOut<5>,IOB,IO_L1N_T0_AD4N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C6,PCOut<4>,IOB,IO_L1P_T0_AD4P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C7,PCOut<11>,IOB,IO_L4N_T0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C8,,,GND,,,,,,,,,,,,
C9,,IOB33M,IO_L11P_T1_SRCC_16,UNUSED,,16,,,,,,,,,
C10,,IOB33S,IO_L13N_T2_MRCC_16,UNUSED,,16,,,,,,,,,
C11,,IOB33M,IO_L13P_T2_MRCC_16,UNUSED,,16,,,,,,,,,
C12,RegFileOut2<5>,IOB,IO_L3P_T0_DQS_AD1P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C13,,,VCCO_15,,,15,,,,,1.80,,,,
C14,RegFileOut2<2>,IOB,IO_L1N_T0_AD0N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C15,DataMemOut<13>,IOB,IO_L12N_T1_MRCC_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,YES,NONE,
C16,RegFileOut2<29>,IOB,IO_L20P_T3_A20_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C17,RegFileOut2<26>,IOB,IO_L20N_T3_A19_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C18,,,GND,,,,,,,,,,,,
D1,,,GND,,,,,,,,,,,,
D2,PCOut<26>,IOB,IO_L14N_T2_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D3,RegFileOut1<0>,IOB,IO_L12N_T1_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D4,PCOut<24>,IOB,IO_L11N_T1_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D5,CLK,IOB,IO_L11P_T1_SRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D6,,,VCCO_35,,,35,,,,,1.80,,,,
D7,PCOut<15>,IOB,IO_L6N_T0_VREF_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D8,PCOut<10>,IOB,IO_L4P_T0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D9,,IOB33S,IO_L6N_T0_VREF_16,UNUSED,,16,,,,,,,,,
D10,,IOB33S,IO_L19N_T3_VREF_16,UNUSED,,16,,,,,,,,,
D11,,,GND,,,,,,,,,,,,
D12,RegFileOut2<11>,IOB,IO_L6P_T0_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
D13,RegFileOut2<12>,IOB,IO_L6N_T0_VREF_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
D14,RegFileOut2<1>,IOB,IO_L1P_T0_AD0P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
D15,DataMemOut<12>,IOB,IO_L12P_T1_MRCC_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,YES,NONE,
D16,,,VCCO_15,,,15,,,,,1.80,,,,
D17,RegFileOut2<18>,IOB,IO_L16N_T2_A27_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
D18,RegFileOut2<25>,IOB,IO_L21N_T3_DQS_A18_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
E1,RegFileOut1<6>,IOB,IO_L18N_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
